Anlassnummer,Anlassbezeichnung
I.BA_FITE.21,I.FinTech
I.BA_FITI.16,I.Future IT Infrastructure
I.BA_FKOM.16,I.Fachkommunikation
I.BA_FM_3.19,I.Forschungsmitarbeit
I.BA_FM_6.19,I.Forschungsmitarbeit
I.BA_FM_6a.19,I.Forschungsmitarbeit
I.BA_FM_6b.19,I.Forschungsmitarbeit
I.BA_FOMED.17,I.Formen der Mediengestaltung
I.BA_FORDIN.21,I.Forensic Readiness
I.BA_GAMEDES.19,I.Game Design
I.BA_GAMEDEV.18,I.Game Development
I.BA_GAME_E.21,I.Game Theory
I.BA_GAME_K.21,I.Game Theory
I.BA_GAME_MM.21,I.Game Theory
I.BA_GEEI.20,I.Geistiges Eigentum – Chancen und Risiken (Blockwoche)
I.BA_GIS.19,I.Geographic Information Systems
I.BA_GPDA.19,I.Geschäftsprozesse digitalisieren und automatisieren
I.BA_GPOR_E.18,I.Geschäftsprozesse & Organisation
I.BA_GPOR_K.18,I.Geschäftsprozesse & Organisation
I.BA_GPOR_MM.18,I.Geschäftsprozesse & Organisation
I.BA_HFD.18,I.Human Factors & Design
I.BA_HOA.21,I.Human & Organizational Apsects of InfoSec
I.BA_HPP_1_3.18,I.High Potential Project 1
I.BA_HPP_1_6.18,I.High Potential Project 1
I.BA_HTCLAW.21,I.High Tech Cybercrime & Law
I.BA_IAM.19,I.Identity Access Management & DLP
I.BA_IAVR.18,I.Interaction for Virtual Reality (Blockwoche)
I.BA_IAVR.19,I.Interaction for Virtual Reality
I.BA_IBIS.21,I.Integrierte betriebliche Informationssysteme
I.BA_IGL.16,I.Informatik-Grundlagen
I.BA_IIP1.21,I.Integrales Informatik Praxisprojekt 1
I.BA_IIP2.22,I.Integrales Informatik Praxisprojekt 2
I.BA_IL_LECT.21,I.Lecture at Tel Aviv University
I.BA_IL_PROJ.21,I.Israel Project
I.BA_IMATH.16,I.Informatik Mathematik
I.BA_IMLAB.20,I.Immersive Labs
I.BA_IM_B.16,I.IT-Konzepte & Modelle
I.BA_IM_I.16,I.IT-Konzepte & Modelle
